russian_title,english_title,rating,vote_count,genre,director,is_film,start_year,end_year,duration_minutes,country,actors
Моана,Moana,,,драма,Альфредо Пейретти,False,,,,Италия,Виоланте Плачидо|Козимо Фуско
Ванганская полночь,Wangan middonaito the movie,6.9,355.0,боевик,Ацуси Мурога,True,2009.0,,100.0,Япония,Юити Накамура|Рёко Кобаяси
Любовь по контракту,Contrato de amor,,,драма,Виктор Уго Мартинес,False,2008.0,2008.0,,Мексика,Химена Гонсалес-Рубио|Eric Rodas
Умная дочь крестьянина,Die kluge Bauerntochter,6.8,355.0,фэнтези,Вольфганг Эйслер,True,2009.0,,59.0,Германия,Анна Мария Мюэ|Максим Мехмет
Ультиматум,Ultimatum,7.4,355.0,драма,Ален Тасма,True,2009.0,,102.0,Франция,Гаспар Ульель|Жазмин Тринка
Мартин Чезлвит,Martin Chuzzlewit,7.5,355.0,драма,Педр Джеймс,False,,,,Великобритания,Эмма Чэмберс|Джулия Савалия
Ка Ина,Ka Ina,7.8,355.0,драма,Карлос Искиердо,False,,,,Венесуэла,Жан Карло Симанкас|Ильда Абраамс
Чистильщик,The Cleaner,6.8,355.0,драма,Леон Ичасо,False,2008.0,2008.0,,США,Грейс Пак|Бенджамин Брэтт
Мир Людовика,De wereld van Ludovic,7.0,355.0,драма,Жан-Пьерр Де Декер,True,1993.0,,91.0,Бельгия,Матиас Коппенс|Белла Ван Мил
Сакура: Война миров. Фильм,Sakura taisen: Katsudou shashin,5.1,355.0,аниме,Мицуру Хонго,True,2001.0,,80.0,Япония,Тиса Ёкояма|Митиэ Томидзава
Лицензия на убийство,License to Kill,6.2,355.0,триллер,Джад Тейлор,True,1984.0,,96.0,США,Джеймс Фарентино|Пенни Фуллер
Анна-Монстр,Anna and the Moods,5.9,355.0,мультфильм,Гуннар Карлссон,True,2006.0,,26.0,Исландия,Бьорк|Дэймон Албарн
Каменный ангел,The Stone Angel,6.7,355.0,драма,Кари Скогланд,True,2007.0,,115.0,Канада,Эллен Бёрстин|Дилан Бейкер
Подводная братва: На рыбалку,Shark Tale: Gettin' Fishy with It,5.9,355.0,мультфильм,Келли Оллред,True,2004.0,,30.0,США,Брайан Каммингс|Текла Рютен
Растление,La corruzione,7.1,355.0,драма,Мауро Болоньини,True,1963.0,,82.0,Италия,Ален Кюни|Розанна Скьяффино
Робби – северный олень,Legend of the Lost Tribe,6.4,355.0,короткометражка,Питер Пик,True,2002.0,,30.0,Великобритания,Ардал О’Хэнлон|Джейн Хоррокс
По стопам отца,Sarkar,7.0,355.0,боевик,Рам Гопал Варма,True,2005.0,,124.0,Индия,Амитабх Баччан|Абхишек Баччан
Багз Банни снова на коне,Bugs Bunny Rides Again,7.1,355.0,мультфильм,Фриц Фрилинг,True,1948.0,,7.0,США,Мэл Бланк
Мрачные моменты,Bleak Moments,6.9,355.0,драма,Майк Ли,True,1971.0,,106.0,Великобритания,Энн Райт|Сара Стефенсон
Просветление,Being Light,6.8,355.0,комедия,Pascal Arnold,True,2001.0,,96.0,Франция,Жан-Марк Барр|Ромен Дюрис
Замороженный ужас,Deep Freeze,3.8,355.0,ужасы,Джон Карл Бюхлер,True,2001.0,,83.0,США,Гёц Отто|Аллен Ли Хафф
Развод,The Divorcee,6.2,355.0,драма,Роберт З. Леонард,True,1930.0,,84.0,США,Норма Ширер|Честер Моррис
Цирюльник,The Barber,5.6,355.0,триллер,Майкл Бафаро,True,2001.0,,94.0,Канада,Малкольм Макдауэлл|Джереми Рэчфорд
Леди Л,Lady L,6.5,355.0,комедия,Питер Устинов,True,1965.0,,117.0,Великобритания,Софи Лорен|Пол Ньюман
Телефон,Telefon,6.0,355.0,боевик,Дон Сигел,True,1977.0,,102.0,США,Чарльз Бронсон|Ли Ремик
Кинджайт: Запретные темы,Kinjite: Forbidden Subjects,5.7,355.0,детектив,Дж. Ли Томпсон,True,1988.0,,97.0,США,Чарльз Бронсон|Перри Лопес
Отверженный,Castaway,5.8,355.0,драма,Николас Роуг,True,1986.0,,117.0,Великобритания,Оливер Рид|Аманда Донохью
Питер Иббетсон,Peter Ibbetson,6.3,355.0,фэнтези,Генри Хэтэуэй,True,1935.0,,85.0,США,Гэри Купер|Энн Хардинг
Игры,Games,6.5,355.0,триллер,Кёртис Харрингтон,True,1967.0,,100.0,США,Симона Синьоре|Джеймс Каан
Ресторан Хо,Heosikdang,7.3,354.0,мелодрама,О Хван-мин,False,,,,Корея Южная,Сюмин|Экси
Тачкомания,Car Issues with Tyler Hoover,7.7,354.0,реальное ТВ,,False,2019.0,2019.0,,США,Дэвид Лонг
Старший брат,Abang Adik,,,драма,Лай Джин Он,True,2023.0,,115.0,Малайзия,У Ганжэнь|Джек Тань
